Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
4.103900000000000,2.251366348e-15,0.002525366,-4.76E-15,-2.13E-04,-4.76E-15,-2.13E-04,-1.98E-15,0.0020437
4.104000000000000,2.278143880e-15,0.002525428,-4.84E-15,-2.13E-04,-4.84E-15,-2.13E-04,-1.98E-15,0.002043751
4.104100000000000,2.302681366e-15,0.002525491,-4.92E-15,-2.13E-04,-4.92E-15,-2.13E-04,-1.98E-15,0.002043801
4.104200000000001,2.327566239e-15,0.002525553,-5.00E-15,-2.13E-04,-5.00E-15,-2.13E-04,-1.98E-15,0.002043851
4.104300000000000,2.348136808e-15,0.002525616,-5.07E-15,-2.13E-04,-5.07E-15,-2.13E-04,-1.98E-15,0.002043901
4.104400000000000,2.369797931e-15,0.002525678,-5.15E-15,-2.13E-04,-5.15E-15,-2.13E-04,-1.98E-15,0.002043951
4.104500000000000,2.388075268e-15,0.00252574,-5.22E-15,-2.13E-04,-5.22E-15,-2.13E-04,-1.98E-15,0.002044002
4.104600000000000,2.412299387e-15,0.002525803,-5.29E-15,-2.13E-04,-5.29E-15,-2.13E-04,-1.98E-15,0.002044052
4.104700000000000,2.431981604e-15,0.002525865,-5.36E-15,-2.13E-04,-5.36E-15,-2.13E-04,-1.98E-15,0.002044102
4.104800000000000,2.452773063e-15,0.002525927,-5.42E-15,-2.13E-04,-5.42E-15,-2.13E-04,-1.98E-15,0.002044152
4.104900000000001,2.469708289e-15,0.00252599,-5.48E-15,-2.13E-04,-5.48E-15,-2.13E-04,-1.97E-15,0.002044203
4.105000000000000,2.489969803e-15,0.002526052,-5.55E-15,-2.13E-04,-5.55E-15,-2.13E-04,-1.97E-15,0.002044253
4.105100000000000,2.503687987e-15,0.002526115,-5.61E-15,-2.13E-04,-5.61E-15,-2.13E-04,-1.98E-15,0.002044303
4.105200000000000,2.522455978e-15,0.002526177,-5.66E-15,-2.13E-04,-5.66E-15,-2.13E-04,-1.97E-15,0.002044353
4.105300000000001,2.539535908e-15,0.002526239,-5.72E-15,-2.13E-04,-5.72E-15,-2.13E-04,-1.97E-15,0.002044403
4.105400000000000,2.554806553e-15,0.002526302,-5.77E-15,-2.13E-04,-5.77E-15,-2.13E-04,-1.97E-15,0.002044454
4.105500000000000,2.571773882e-15,0.002526364,-5.83E-15,-2.13E-04,-5.83E-15,-2.13E-04,-1.97E-15,0.002044504
4.105600000000000,2.584667921e-15,0.002526426,-5.88E-15,-2.13E-04,-5.88E-15,-2.13E-04,-1.97E-15,0.002044554
4.105700000000001,2.602458437e-15,0.002526489,-5.92E-15,-2.13E-04,-5.92E-15,-2.13E-04,-1.97E-15,0.002044604
4.105800000000000,2.615511556e-15,0.002526551,-5.97E-15,-2.13E-04,-5.97E-15,-2.13E-04,-1.97E-15,0.002044655
4.105900000000000,2.622492832e-15,0.002526614,-6.01E-15,-2.13E-04,-6.01E-15,-2.13E-04,-1.97E-15,0.002044705
4.106000000000000,2.639528680e-15,0.002526676,-6.06E-15,-2.13E-04,-6.06E-15,-2.13E-04,-1.97E-15,0.002044755
4.106100000000001,2.649394465e-15,0.002526738,-6.10E-15,-2.13E-04,-6.10E-15,-2.13E-04,-1.97E-15,0.002044805
4.106200000000000,2.655525722e-15,0.002526801,-6.14E-15,-2.13E-04,-6.14E-15,-2.13E-04,-1.97E-15,0.002044855
4.106300000000000,2.671178731e-15,0.002526863,-6.18E-15,-2.13E-04,-6.18E-15,-2.13E-04,-1.97E-15,0.002044906
4.106400000000000,2.683536118e-15,0.002526925,-6.21E-15,-2.13E-04,-6.21E-15,-2.13E-04,-1.97E-15,0.002044956
4.106500000000000,2.687023402e-15,0.002526988,-6.25E-15,-2.13E-04,-6.25E-15,-2.13E-04,-1.97E-15,0.002045006
4.106600000000000,2.700352034e-15,0.00252705,-6.28E-15,-2.13E-04,-6.28E-15,-2.13E-04,-1.97E-15,0.002045056
4.106700000000000,2.708070729e-15,0.002527113,-6.31E-15,-2.13E-04,-6.31E-15,-2.13E-04,-1.97E-15,0.002045107
4.106800000000001,2.714782721e-15,0.002527175,-6.34E-15,-2.13E-04,-6.34E-15,-2.13E-04,-1.97E-15,0.002045157
4.106900000000000,2.725279552e-15,0.002527237,-6.36E-15,-2.13E-04,-6.36E-15,-2.13E-04,-1.97E-15,0.002045207
4.107000000000000,2.730733285e-15,0.0025273,-6.39E-15,-2.13E-04,-6.39E-15,-2.13E-04,-1.97E-15,0.002045257
4.107100000000000,2.735619700e-15,0.002527362,-6.41E-15,-2.13E-04,-6.41E-15,-2.13E-04,-1.97E-15,0.002045307
4.107200000000001,2.741362842e-15,0.002527425,-6.44E-15,-2.13E-04,-6.44E-15,-2.13E-04,-1.97E-15,0.002045358
4.107300000000000,2.749503671e-15,0.002527487,-6.46E-15,-2.13E-04,-6.46E-15,-2.13E-04,-1.97E-15,0.002045408
4.107400000000000,2.753168722e-15,0.002527549,-6.48E-15,-2.14E-04,-6.48E-15,-2.14E-04,-1.97E-15,0.002045458
4.107500000000000,2.759354602e-15,0.002527612,-6.49E-15,-2.14E-04,-6.49E-15,-2.14E-04,-1.97E-15,0.002045508
4.107600000000001,2.762549603e-15,0.002527674,-6.51E-15,-2.14E-04,-6.51E-15,-2.14E-04,-1.97E-15,0.002045559
