Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
8.500000000000000,0.008476708,0.033382741,0.963216004,-0.266512042,0.963216004,-0.266512042,0.009888534,0.032992103
8.500020000000001,0.008473458,0.033372924,0.963213388,-0.266522827,0.963213388,-0.266522827,0.009887008,0.032981793
8.500040000000000,0.0084702,0.033363086,0.963210767,-0.266533634,0.963210767,-0.266533634,0.009885479,0.032971459
8.500060000000001,0.008466934,0.033353225,0.96320814,-0.266544465,0.96320814,-0.266544465,0.009883945,0.032961102
8.500080000000001,0.008463661,0.033343342,0.963205508,-0.266555319,0.963205508,-0.266555319,0.009882408,0.032950721
8.500100000000000,0.00846038,0.033333436,0.963202869,-0.266566196,0.963202869,-0.266566196,0.009880867,0.032940316
8.500120000000001,0.008457091,0.033323507,0.963200225,-0.266577097,0.963200225,-0.266577097,0.009879323,0.032929887
8.500140000000000,0.008453794,0.033313555,0.963197575,-0.266588021,0.963197575,-0.266588021,0.009877774,0.032919435
8.500160000000001,0.008450489,0.033303581,0.963194918,-0.266598968,0.963194918,-0.266598968,0.009876222,0.032908958
8.500180000000000,0.008447177,0.033293584,0.963192256,-0.266609939,0.963192256,-0.266609939,0.009874665,0.032898457
8.500200000000001,0.008443856,0.033283564,0.963189588,-0.266620934,0.963189588,-0.266620934,0.009873105,0.032887933
8.500220000000001,0.008440528,0.03327352,0.963186914,-0.266631953,0.963186914,-0.266631953,0.009871541,0.032877383
8.500240000000000,0.008437191,0.033263454,0.963184235,-0.266642995,0.963184235,-0.266642995,0.009869973,0.03286681
8.500260000000001,0.008433847,0.033253364,0.963181549,-0.266654061,0.963181549,-0.266654061,0.009868401,0.032856212
8.500280000000000,0.008430494,0.033243251,0.963178857,-0.266665152,0.963178857,-0.266665152,0.009866825,0.03284559
8.500300000000001,0.008427134,0.033233115,0.963176159,-0.266676266,0.963176159,-0.266676266,0.009865245,0.032834943
8.500320000000000,0.008423765,0.033222955,0.963173455,-0.266687404,0.963173455,-0.266687404,0.009863661,0.032824271
8.500340000000001,0.008420389,0.033212772,0.963170745,-0.266698567,0.963170745,-0.266698567,0.009862073,0.032813574
8.500360000000001,0.008417004,0.033202565,0.963168028,-0.266709754,0.963168028,-0.266709754,0.009860481,0.032802853
8.500380000000000,0.008413611,0.033192334,0.963165306,-0.266720966,0.963165306,-0.266720966,0.009858885,0.032792107
8.500400000000001,0.00841021,0.033182079,0.963162577,-0.266732202,0.963162577,-0.266732202,0.009857285,0.032781335
8.500420000000000,0.0084068,0.033171801,0.963159843,-0.266743463,0.963159843,-0.266743463,0.00985568,0.032770539
8.500440000000001,0.008403383,0.033161498,0.963157102,-0.266754748,0.963157102,-0.266754748,0.009854072,0.032759717
8.500460000000000,0.008399957,0.033151172,0.963154355,-0.266766058,0.963154355,-0.266766058,0.00985246,0.03274887
8.500480000000001,0.008396522,0.033140821,0.963151601,-0.266777393,0.963151601,-0.266777393,0.009850843,0.032737998
8.500500000000001,0.00839308,0.033130447,0.963148842,-0.266788753,0.963148842,-0.266788753,0.009849223,0.0327271
8.500520000000000,0.008389629,0.033120047,0.963146076,-0.266800137,0.963146076,-0.266800137,0.009847598,0.032716177
8.500540000000001,0.00838617,0.033109624,0.963143304,-0.266811547,0.963143304,-0.266811547,0.009845969,0.032705228
8.500560000000000,0.008382702,0.033099176,0.963140525,-0.266822982,0.963140525,-0.266822982,0.009844336,0.032694253
8.500580000000001,0.008379226,0.033088704,0.96313774,-0.266834443,0.96313774,-0.266834443,0.009842699,0.032683253
8.500600000000000,0.008375741,0.033078206,0.963134949,-0.266845929,0.963134949,-0.266845929,0.009841058,0.032672226
8.500620000000001,0.008372248,0.033067685,0.963132151,-0.26685744,0.963132151,-0.26685744,0.009839412,0.032661174
8.500640000000001,0.008368746,0.033057138,0.963129347,-0.266868977,0.963129347,-0.266868977,0.009837762,0.032650095
8.500660000000000,0.008365235,0.033046566,0.963126536,-0.266880539,0.963126536,-0.266880539,0.009836108,0.03263899
8.500680000000001,0.008361716,0.03303597,0.963123719,-0.266892127,0.963123719,-0.266892127,0.00983445,0.032627859
8.500700000000000,0.008358189,0.033025348,0.963120896,-0.266903741,0.963120896,-0.266903741,0.009832787,0.032616702
8.500720000000001,0.008354652,0.033014701,0.963118066,-0.266915381,0.963118066,-0.266915381,0.00983112,0.032605518
8.500740000000000,0.008351107,0.033004029,0.963115229,-0.266927047,0.963115229,-0.266927047,0.009829449,0.032594307
8.500760000000000,0.008347553,0.032993332,0.963112386,-0.266938739,0.963112386,-0.266938739,0.009827773,0.03258307
8.500780000000001,0.008343991,0.032982609,0.963109536,-0.266950457,0.963109536,-0.266950457,0.009826093,0.032571806
8.500800000000000,0.008340419,0.032971861,0.96310668,-0.266962201,0.96310668,-0.266962201,0.009824409,0.032560516
8.500820000000001,0.008336839,0.032961087,0.963103817,-0.266973972,0.963103817,-0.266973972,0.00982272,0.032549198
8.500840000000000,0.00833325,0.032950287,0.963100947,-0.26698577,0.963100947,-0.26698577,0.009821027,0.032537853
8.500860000000001,0.008329652,0.032939462,0.963098071,-0.266997593,0.963098071,-0.266997593,0.00981933,0.032526482
8.500880000000000,0.008326045,0.03292861,0.963095188,-0.267009444,0.963095188,-0.267009444,0.009817628,0.032515082
8.500900000000000,0.008322429,0.032917733,0.963092298,-0.267021321,0.963092298,-0.267021321,0.009815921,0.032503656
8.500920000000001,0.008318804,0.03290683,0.963089401,-0.267033225,0.963089401,-0.267033225,0.009814211,0.032492202
8.500940000000000,0.00831517,0.0328959,0.963086498,-0.267045156,0.963086498,-0.267045156,0.009812495,0.032480721
8.500960000000001,0.008311527,0.032884944,0.963083588,-0.267057114,0.963083588,-0.267057114,0.009810776,0.032469212
8.500980000000000,0.008307875,0.032873962,0.963080671,-0.267069099,0.963080671,-0.267069099,0.009809051,0.032457675
8.501000000000001,0.008304214,0.032862954,0.963077747,-0.267081112,0.963077747,-0.267081112,0.009807322,0.032446111
8.501020000000000,0.008300543,0.032851918,0.963074816,-0.267093151,0.963074816,-0.267093151,0.009805589,0.032434519
