Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
6.500000000000000,0.02978666,0.056336088,0.877863723,-0.474651749,0.877863723,-0.474651749,0.030829222,0.055772386
6.500500000000001,0.029786048,0.056333175,0.877841869,-0.474692551,0.877841869,-0.474692551,0.030832292,0.055767418
6.501000000000000,0.029785402,0.056330219,0.877819991,-0.4747334,0.877819991,-0.4747334,0.030835351,0.055762394
6.501500000000000,0.02978472,0.056327223,0.877798086,-0.4747743,0.877798086,-0.4747743,0.030838401,0.055757315
6.502000000000001,0.029784003,0.056324184,0.877776157,-0.474815249,0.877776157,-0.474815249,0.03084144,0.05575218
6.502500000000000,0.029783251,0.056321102,0.877754201,-0.474856248,0.877754201,-0.474856248,0.030844469,0.055746988
6.503000000000000,0.029782463,0.056317978,0.87773222,-0.474897298,0.87773222,-0.474897298,0.030847487,0.055741739
6.503500000000001,0.029781638,0.05631481,0.877710213,-0.474938399,0.877710213,-0.474938399,0.030850495,0.055736432
6.504000000000000,0.029780776,0.056311599,0.877688179,-0.474979552,0.877688179,-0.474979552,0.030853491,0.055731067
6.504500000000000,0.029779878,0.056308343,0.877666118,-0.475020757,0.877666118,-0.475020757,0.030856477,0.055725643
6.505000000000001,0.029778942,0.056305043,0.877644031,-0.475062015,0.877644031,-0.475062015,0.030859452,0.055720159
6.505500000000001,0.029777968,0.056301697,0.877621916,-0.475103326,0.877621916,-0.475103326,0.030862415,0.055714615
6.506000000000000,0.029776955,0.056298306,0.877599774,-0.475144692,0.877599774,-0.475144692,0.030865368,0.05570901
6.506500000000001,0.029775904,0.056294869,0.877577604,-0.475186112,0.877577604,-0.475186112,0.030868309,0.055703344
6.507000000000001,0.029774814,0.056291385,0.877555405,-0.475227587,0.877555405,-0.475227587,0.030871238,0.055697615
6.507500000000000,0.029773684,0.056287854,0.877533179,-0.475269117,0.877533179,-0.475269117,0.030874156,0.055691824
6.508000000000000,0.029772515,0.056284276,0.877510924,-0.475310704,0.877510924,-0.475310704,0.030877062,0.05568597
6.508500000000001,0.029771305,0.05628065,0.87748864,-0.475352348,0.87748864,-0.475352348,0.030879957,0.055680052
6.509000000000000,0.029770054,0.056276975,0.877466327,-0.475394049,0.877466327,-0.475394049,0.030882839,0.055674069
6.509500000000000,0.029768762,0.056273251,0.877443984,-0.475435809,0.877443984,-0.475435809,0.030885709,0.05566802
6.510000000000001,0.029767429,0.056269478,0.877421612,-0.475477627,0.877421612,-0.475477627,0.030888567,0.055661906
6.510500000000000,0.029766053,0.056265654,0.877399209,-0.475519504,0.877399209,-0.475519504,0.030891412,0.055655724
6.511000000000000,0.029764635,0.05626178,0.877376776,-0.475561442,0.877376776,-0.475561442,0.030894245,0.055649476
6.511500000000001,0.029763173,0.056257855,0.877354313,-0.47560344,0.877354313,-0.47560344,0.030897065,0.055643159
6.512000000000000,0.029761669,0.056253878,0.877331818,-0.475645499,0.877331818,-0.475645499,0.030899873,0.055636773
6.512500000000000,0.02976012,0.056249849,0.877309292,-0.47568762,0.877309292,-0.47568762,0.030902667,0.055630318
6.513000000000001,0.029758527,0.056245767,0.877286734,-0.475729804,0.877286734,-0.475729804,0.030905448,0.055623792
6.513500000000001,0.029756889,0.056241632,0.877264145,-0.475772051,0.877264145,-0.475772051,0.030908216,0.055617195
6.514000000000000,0.029755205,0.056237443,0.877241523,-0.475814362,0.877241523,-0.475814362,0.030910971,0.055610526
6.514500000000001,0.029753476,0.056233199,0.877218868,-0.475856738,0.877218868,-0.475856738,0.030913712,0.055603784
6.515000000000001,0.0297517,0.0562289,0.87719618,-0.475899179,0.87719618,-0.475899179,0.030916439,0.055596969
6.515500000000000,0.029749877,0.056224546,0.877173459,-0.475941686,0.877173459,-0.475941686,0.030919152,0.055590079
6.516000000000000,0.029748006,0.056220135,0.877150704,-0.475984261,0.877150704,-0.475984261,0.030921852,0.055583114
6.516500000000001,0.029746088,0.056215667,0.877127915,-0.476026902,0.877127915,-0.476026902,0.030924537,0.055576074
6.517000000000000,0.029744121,0.056211142,0.877105091,-0.476069613,0.877105091,-0.476069613,0.030927208,0.055568956
6.517500000000000,0.029742105,0.056206558,0.877082233,-0.476112392,0.877082233,-0.476112392,0.030929864,0.055561761
6.518000000000001,0.02974004,0.056201916,0.87705934,-0.476155242,0.87705934,-0.476155242,0.030932505,0.055554487
6.518500000000000,0.029737924,0.056197214,0.87703641,-0.476198162,0.87703641,-0.476198162,0.030935132,0.055547134
6.519000000000000,0.029735757,0.056192452,0.877013445,-0.476241153,0.877013445,-0.476241153,0.030937744,0.055539701
6.519500000000001,0.029733539,0.056187629,0.876990444,-0.476284217,0.876990444,-0.476284217,0.03094034,0.055532186
6.520000000000000,0.029731269,0.056182744,0.876967405,-0.476327355,0.876967405,-0.476327355,0.030942921,0.055524589
6.520500000000000,0.029728947,0.056177797,0.876944329,-0.476370566,0.876944329,-0.476370566,0.030945487,0.055516909
6.521000000000001,0.029726571,0.056172788,0.876921216,-0.476413852,0.876921216,-0.476413852,0.030948036,0.055509145
6.521500000000001,0.029724141,0.056167714,0.876898064,-0.476457213,0.876898064,-0.476457213,0.03095057,0.055501296
6.522000000000000,0.029721658,0.056162576,0.876874874,-0.476500652,0.876874874,-0.476500652,0.030953087,0.055493362
6.522500000000000,0.029719119,0.056157373,0.876851645,-0.476544168,0.876851645,-0.476544168,0.030955589,0.05548534
6.523000000000001,0.029716524,0.056152104,0.876828377,-0.476587762,0.876828377,-0.476587762,0.030958073,0.05547723
6.523500000000000,0.029713873,0.056146768,0.876805068,-0.476631436,0.876805068,-0.476631436,0.030960541,0.055469031
6.524000000000000,0.029711165,0.056141365,0.87678172,-0.47667519,0.87678172,-0.47667519,0.030962992,0.055460742
6.524500000000001,0.029708399,0.056135893,0.876758331,-0.476719026,0.876758331,-0.476719026,0.030965426,0.055452362
6.525000000000000,0.029705575,0.056130353,0.876734901,-0.476762943,0.876734901,-0.476762943,0.030967842,0.055443889
6.525500000000000,0.029702691,0.056124743,0.876711429,-0.476806944,0.876711429,-0.476806944,0.030970241,0.055435324
6.526000000000001,0.029699748,0.056119061,0.876687914,-0.476851029,0.876687914,-0.476851029,0.030972622,0.055426664
6.526500000000000,0.029696745,0.056113309,0.876664358,-0.4768952,0.876664358,-0.4768952,0.030974985,0.055417908
6.527000000000000,0.02969368,0.056107484,0.876640758,-0.476939456,0.876640758,-0.476939456,0.03097733,0.055409056
6.527500000000001,0.029690553,0.056101585,0.876617114,-0.4769838,0.876617114,-0.4769838,0.030979656,0.055400106
6.528000000000000,0.029687363,0.056095613,0.876593427,-0.477028233,0.876593427,-0.477028233,0.030981964,0.055391057
6.528500000000000,0.02968411,0.056089565,0.876569694,-0.477072755,0.876569694,-0.477072755,0.030984253,0.055381908
6.529000000000001,0.029680792,0.056083442,0.876545916,-0.477117367,0.876545916,-0.477117367,0.030986522,0.055372657
6.529500000000001,0.02967741,0.056077241,0.876522093,-0.477162071,0.876522093,-0.477162071,0.030988772,0.055363304
6.530000000000000,0.029673961,0.056070963,0.876498223,-0.477206868,0.876498223,-0.477206868,0.030991003,0.055353847
6.530500000000000,0.029670446,0.056064606,0.876474307,-0.477251759,0.876474307,-0.477251759,0.030993213,0.055344284
6.531000000000001,0.029666863,0.056058169,0.876450343,-0.477296745,0.876450343,-0.477296745,0.030995404,0.055334615
