Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33]
0.1975,7.7973664968e-6,-1.21777273,-7.80E-06,1.21790214,1.602136611e-11,-3.89E-06,-7.80E-06,1.21790214,7.7976040213e-6,-1.217772568,-1.60E-11,-6.65E-06,1.602136614e-11,-3.89E-06,-1.60E-11,-6.65E-06,-3.57E-15,1.7641258369e-4
0.198,7.5861180976e-6,-1.214703043,-7.59E-06,1.214832781,1.558642154e-11,-3.90E-06,-7.59E-06,1.214832781,7.5863492015e-6,-1.214702881,-1.55E-11,-6.67E-06,1.558642148e-11,-3.90E-06,-1.55E-11,-6.67E-06,-3.57E-15,1.7685922616e-4
0.1985,7.3768008372e-6,-1.211648767,-7.38E-06,1.211778832,1.515503245e-11,-3.91E-06,-7.38E-06,1.211778832,7.3770255653e-6,-1.211648604,-1.51E-11,-6.69E-06,1.515503244e-11,-3.91E-06,-1.51E-11,-6.69E-06,-3.57E-15,1.7730586884e-4
0.199,7.1693990770e-6,-1.208609785,-7.17E-06,1.208740178,1.472718649e-11,-3.92E-06,-7.17E-06,1.208740178,7.1696174779e-6,-1.208609622,-1.47E-11,-6.70E-06,1.472718645e-11,-3.92E-06,-1.47E-11,-6.70E-06,-3.56E-15,1.7775251174e-4
0.1995,6.9638970991e-6,-1.205585984,-6.96E-06,1.205716704,1.430286746e-11,-3.93E-06,-6.96E-06,1.205716704,6.9641092252e-6,-1.20558582,-1.42E-11,-6.72E-06,1.430286738e-11,-3.93E-06,-1.42E-11,-6.72E-06,-3.56E-15,1.7819915485e-4
0.2,6.7602795529e-6,-1.202577249,-6.76E-06,1.202708297,1.388206423e-11,-3.94E-06,-6.76E-06,1.202708297,6.7604854476e-6,-1.202577085,-1.38E-11,-6.74E-06,1.388206416e-11,-3.94E-06,-1.38E-11,-6.74E-06,-3.56E-15,1.7864579818e-4
0.2005,6.5585309716e-6,-1.199583469,-6.56E-06,1.199714844,1.346476186e-11,-3.95E-06,-6.56E-06,1.199714844,6.5587306778e-6,-1.199583304,-1.34E-11,-6.75E-06,1.346476188e-11,-3.95E-06,-1.34E-11,-6.75E-06,-3.56E-15,1.7909244173e-4
0.201,6.3586363952e-6,-1.196604532,-6.36E-06,1.196736234,1.305094686e-11,-3.96E-06,-6.36E-06,1.196736234,6.3588299597e-6,-1.196604366,-1.30E-11,-6.77E-06,1.305094689e-11,-3.96E-06,-1.30E-11,-6.77E-06,-3.56E-15,1.7953908549e-4
0.2015,6.1605807688e-6,-1.193640328,-6.16E-06,1.193772358,1.264060512e-11,-3.97E-06,-6.16E-06,1.193772358,6.1607682208e-6,-1.193640162,-1.26E-11,-6.79E-06,1.264060511e-11,-3.97E-06,-1.26E-11,-6.79E-06,-3.56E-15,1.7998572947e-4
0.202,5.9643490236e-6,-1.190690748,-5.96E-06,1.190823106,1.223372418e-11,-3.98E-06,-5.96E-06,1.190823106,5.9645304130e-6,-1.190690582,-1.22E-11,-6.80E-06,1.223372422e-11,-3.98E-06,-1.22E-11,-6.80E-06,-3.56E-15,1.8043237367e-4
0.2025,5.7699265854e-6,-1.187755684,-5.77E-06,1.18788837,1.183028870e-11,-3.99E-06,-5.77E-06,1.18788837,5.7701019830e-6,-1.187755518,-1.18E-11,-6.82E-06,1.183028878e-11,-3.99E-06,-1.18E-11,-6.82E-06,-3.56E-15,1.8087901809e-4
0.203,5.5772989572e-6,-1.18483503,-5.58E-06,1.184968043,1.143028626e-11,-4.00E-06,-5.58E-06,1.184968043,5.5774683783e-6,-1.184834863,-1.14E-11,-6.84E-06,1.143028627e-11,-4.00E-06,-1.14E-11,-6.84E-06,-3.56E-15,1.8132566273e-4
0.2035,5.3864514071e-6,-1.181928679,-5.39E-06,1.18206202,1.103370323e-11,-4.01E-06,-5.39E-06,1.18206202,5.3866149129e-6,-1.181928512,-1.10E-11,-6.86E-06,1.103370325e-11,-4.01E-06,-1.10E-11,-6.86E-06,-3.56E-15,1.8177230759e-4
0.204,5.1973698452e-6,-1.179036527,-5.20E-06,1.179170196,1.064052494e-11,-4.02E-06,-5.20E-06,1.179170196,5.1975274753e-6,-1.17903636,-1.06E-11,-6.87E-06,1.064052494e-11,-4.02E-06,-1.06E-11,-6.87E-06,-3.55E-15,1.8221895267e-4
0.2045,5.0100398578e-6,-1.17615847,-5.01E-06,1.176292467,1.025073804e-11,-4.03E-06,-5.01E-06,1.176292467,5.0101916515e-6,-1.176158302,-1.02E-11,-6.89E-06,1.025073807e-11,-4.03E-06,-1.02E-11,-6.89E-06,-3.55E-15,1.8266559797e-4
0.205,4.8244477481e-6,-1.173294406,-4.82E-06,1.17342873,9.864329800e-12,-4.04E-06,-4.82E-06,1.17342873,4.8245937442e-6,-1.173294237,-9.82E-12,-6.91E-06,9.864329796e-12,-4.04E-06,-9.82E-12,-6.91E-06,-3.55E-15,1.8311224349e-4
0.2055,4.6405792147e-6,-1.170444231,-4.64E-06,1.170578883,9.481284709e-12,-4.05E-06,-4.64E-06,1.170578883,4.6407194807e-6,-1.170444063,-9.44E-12,-6.92E-06,9.481284687e-12,-4.05E-06,-9.44E-12,-6.92E-06,-3.55E-15,1.8355888924e-4
0.206,4.4584207601e-6,-1.167607847,-4.46E-06,1.167742826,9.101591601e-12,-4.06E-06,-4.46E-06,1.167742826,4.4585553257e-6,-1.167607678,-9.06E-12,-6.94E-06,9.101591675e-12,-4.06E-06,-9.06E-12,-6.94E-06,-3.55E-15,1.8400553520e-4
0.2065,4.2779584691e-6,-1.164785152,-4.28E-06,1.164920459,8.725235320e-12,-4.07E-06,-4.28E-06,1.164920459,4.2780873675e-6,-1.164784983,-8.68E-12,-6.96E-06,8.725235231e-12,-4.07E-06,-8.68E-12,-6.96E-06,-3.55E-15,1.8445218139e-4
0.207,4.0991789124e-6,-1.161976049,-4.10E-06,1.162111683,8.352201406e-12,-4.08E-06,-4.10E-06,1.162111683,4.0993022097e-6,-1.161975879,-8.31E-12,-6.97E-06,8.352201482e-12,-4.08E-06,-8.31E-12,-6.97E-06,-3.55E-15,1.8489882781e-4
0.2075,3.9220687982e-6,-1.159180438,-3.92E-06,1.159316401,7.982478996e-12,-4.09E-06,-3.92E-06,1.159316401,3.9221865308e-6,-1.159180268,-7.94E-12,-6.99E-06,7.982479020e-12,-4.09E-06,-7.94E-12,-6.99E-06,-3.55E-15,1.8534547445e-4
0.208,3.7466146032e-6,-1.156398224,-3.75E-06,1.156534514,7.616052063e-12,-4.10E-06,-3.75E-06,1.156534514,3.7467267950e-6,-1.156398053,-7.58E-12,-7.01E-06,7.616052134e-12,-4.10E-06,-7.58E-12,-7.01E-06,-3.55E-15,1.8579212131e-4
0.2085,3.5728034670e-6,-1.15362931,-3.57E-06,1.153765928,7.252906265e-12,-4.11E-06,-3.57E-06,1.153765928,3.5729101620e-6,-1.153629139,-7.22E-12,-7.02E-06,7.252906273e-12,-4.11E-06,-7.22E-12,-7.02E-06,-3.54E-15,1.8623876840e-4
0.209,3.4006221114e-6,-1.150873601,-3.40E-06,1.151010546,6.893031223e-12,-4.12E-06,-3.40E-06,1.151010546,3.4007233572e-6,-1.15087343,-6.86E-12,-7.04E-06,6.893031149e-12,-4.12E-06,-6.86E-12,-7.04E-06,-3.54E-15,1.8668541571e-4
0.2095,3.2300576517e-6,-1.148131003,-3.23E-06,1.148268276,6.536410639e-12,-4.13E-06,-3.23E-06,1.148268276,3.2301535076e-6,-1.148130831,-6.50E-12,-7.06E-06,6.536410756e-12,-4.13E-06,-6.50E-12,-7.06E-06,-3.54E-15,1.8713206326e-4
0.21,3.0610972212e-6,-1.145401423,-3.06E-06,1.145539023,6.183033281e-12,-4.13E-06,-3.06E-06,1.145539023,3.0611877177e-6,-1.14540125,-6.15E-12,-7.07E-06,6.183033165e-12,-4.13E-06,-6.15E-12,-7.07E-06,-3.54E-15,1.8757871103e-4
0.2105,2.8937284144e-6,-1.142684767,-2.89E-06,1.142822695,5.832883707e-12,-4.14E-06,-2.89E-06,1.142822695,2.8938135813e-6,-1.142684595,-5.80E-12,-7.09E-06,5.832883778e-12,-4.14E-06,-5.80E-12,-7.09E-06,-3.54E-15,1.8802535902e-4
0.211,2.7279383807e-6,-1.139980946,-2.73E-06,1.140119201,5.485948441e-12,-4.15E-06,-2.73E-06,1.140119201,2.7280182801e-6,-1.139980772,-5.46E-12,-7.11E-06,5.485948324e-12,-4.15E-06,-5.46E-12,-7.11E-06,-3.54E-15,1.8847200725e-4
0.2115,2.5637147404e-6,-1.137289867,-2.56E-06,1.13742845,5.142214706e-12,-4.16E-06,-2.56E-06,1.13742845,2.5637894055e-6,-1.137289693,-5.12E-12,-7.12E-06,5.142214547e-12,-4.16E-06,-5.12E-12,-7.12E-06,-3.54E-15,1.8891865570e-4
0.212,2.4010451951e-6,-1.134611441,-2.40E-06,1.134750351,4.801668387e-12,-4.17E-06,-2.40E-06,1.134750351,2.4011146424e-6,-1.134611267,-4.78E-12,-7.14E-06,4.801668530e-12,-4.17E-06,-4.78E-12,-7.14E-06,-3.54E-15,1.8936530438e-4
0.2125,2.2399175128e-6,-1.131945579,-2.24E-06,1.132084817,4.464296808e-12,-4.18E-06,-2.24E-06,1.132084817,2.2399818231e-6,-1.131945404,-4.44E-12,-7.16E-06,4.464296879e-12,-4.18E-06,-4.44E-12,-7.16E-06,-3.54E-15,1.8981195330e-4
0.213,2.0803196141e-6,-1.129292193,-2.08E-06,1.129431759,4.130086036e-12,-4.19E-06,-2.08E-06,1.129431759,2.0803788073e-6,-1.129292018,-4.11E-12,-7.18E-06,4.130086070e-12,-4.19E-06,-4.11E-12,-7.18E-06,-3.54E-15,1.9025860244e-4
0.2135,1.9222395240e-6,-1.126651195,-1.92E-06,1.126791089,3.799022033e-12,-4.20E-06,-1.92E-06,1.126791089,1.9222936476e-6,-1.12665102,-3.78E-12,-7.19E-06,3.799022041e-12,-4.20E-06,-3.78E-12,-7.19E-06,-3.53E-15,1.9070525181e-4
0.214,1.7656650473e-6,-1.124022499,-1.77E-06,1.124162721,3.471092186e-12,-4.21E-06,-1.77E-06,1.124162721,1.7657141565e-6,-1.124022324,-3.45E-12,-7.21E-06,3.471092312e-12,-4.21E-06,-3.45E-12,-7.21E-06,-3.53E-15,1.9115190142e-4
0.2145,1.6105846680e-6,-1.12140602,-1.61E-06,1.121546569,3.146281779e-12,-4.22E-06,-1.61E-06,1.121546569,1.6106287655e-6,-1.121405844,-3.13E-12,-7.23E-06,3.146281729e-12,-4.22E-06,-3.13E-12,-7.23E-06,-3.53E-15,1.9159855126e-4
0.215,1.4569866477e-6,-1.118801672,-1.46E-06,1.118942549,2.824579181e-12,-4.23E-06,-1.46E-06,1.118942549,1.4570257957e-6,-1.118801495,-2.81E-12,-7.24E-06,2.824579133e-12,-4.23E-06,-2.81E-12,-7.24E-06,-3.53E-15,1.9204520133e-4
0.2155,1.3048595512e-6,-1.116209371,-1.30E-06,1.116350575,2.505968985e-12,-4.24E-06,-1.30E-06,1.116350575,1.3048937796e-6,-1.116209194,-2.49E-12,-7.26E-06,2.505969118e-12,-4.24E-06,-2.49E-12,-7.26E-06,-3.53E-15,1.9249185163e-4
0.216,1.1541914805e-6,-1.113629034,-1.15E-06,1.113770566,2.190439847e-12,-4.25E-06,-1.15E-06,1.113770566,1.1542208466e-6,-1.113628857,-2.18E-12,-7.28E-06,2.190439810e-12,-4.25E-06,-2.18E-12,-7.28E-06,-3.53E-15,1.9293850217e-4
0.2165,1.0049715123e-6,-1.111060578,-1.00E-06,1.111202438,1.877976652e-12,-4.26E-06,-1.00E-06,1.111202438,1.0049960530e-6,-1.1110604,-1.87E-12,-7.29E-06,1.877976573e-12,-4.26E-06,-1.87E-12,-7.29E-06,-3.53E-15,1.9338515294e-4
0.217,8.5718817510e-7,-1.108503922,-8.57E-07,1.108646109,1.568566620e-12,-4.27E-06,-8.57E-07,1.108646109,8.5720790726e-7,-1.108503743,-1.56E-12,-7.31E-06,1.568566588e-12,-4.27E-06,-1.56E-12,-7.31E-06,-3.53E-15,1.9383180394e-4
0.2175,7.1083034030e-7,-1.105958983,-7.11E-07,1.106101498,1.262195998e-12,-4.28E-06,-7.11E-07,1.106101498,7.1084532772e-7,-1.105958805,-1.25E-12,-7.33E-06,1.262196105e-12,-4.28E-06,-1.25E-12,-7.33E-06,-3.53E-15,1.9427845519e-4
0.218,5.6588699885e-7,-1.103425683,-5.66E-07,1.103568525,9.588519873e-13,-4.29E-06,-5.66E-07,1.103568525,5.6589726946e-7,-1.103425504,-9.52E-13,-7.34E-06,9.588518974e-13,-4.29E-06,-9.52E-13,-7.34E-06,-3.52E-15,1.9472510666e-4
0.2185,4.2234698052e-7,-1.100903941,-4.22E-07,1.101047111,6.585206678e-13,-4.30E-06,-4.22E-07,1.101047111,4.2235257752e-7,-1.100903761,-6.54E-13,-7.36E-06,6.585207225e-13,-4.30E-06,-6.54E-13,-7.36E-06,-3.52E-15,1.9517175838e-4
