Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
6.000000000000000,0.004062098,0.02304784,0.979060031,-0.202222038,0.979060031,-0.202222038,0.005401683,0.022771153
6.000050000000001,0.004053046,0.023013472,0.979053253,-0.202258947,0.979053253,-0.202258947,0.005398085,0.022735606
6.000100000000001,0.00404392,0.022978835,0.979046422,-0.20229613,0.979046422,-0.20229613,0.005394454,0.02269978
6.000150000000001,0.00403472,0.022943926,0.979039537,-0.20233359,0.979039537,-0.20233359,0.005390792,0.022663672
6.000200000000000,0.004025443,0.022908741,0.979032599,-0.202371332,0.979032599,-0.202371332,0.005387098,0.02262728
6.000250000000000,0.004016091,0.022873279,0.979025605,-0.202409357,0.979025605,-0.202409357,0.005383371,0.022590599
6.000300000000000,0.004006661,0.022837534,0.979018557,-0.202447671,0.979018557,-0.202447671,0.005379612,0.022553627
6.000350000000000,0.003997152,0.022801505,0.979011452,-0.202486275,0.979011452,-0.202486275,0.005375818,0.022516359
6.000400000000000,0.003987564,0.022765187,0.97900429,-0.202525174,0.97900429,-0.202525174,0.005371991,0.022478793
6.000450000000001,0.003977896,0.022728578,0.97899707,-0.202564371,0.97899707,-0.202564371,0.005368129,0.022440924
6.000500000000001,0.003968146,0.022691672,0.978989792,-0.202603869,0.978989792,-0.202603869,0.005364233,0.02240275
6.000550000000000,0.003958314,0.022654468,0.978982456,-0.202643672,0.978982456,-0.202643672,0.005360301,0.022364265
6.000600000000000,0.003948399,0.022616962,0.978975059,-0.202683785,0.978975059,-0.202683785,0.005356334,0.022325468
6.000650000000000,0.003938399,0.022579149,0.978967602,-0.20272421,0.978967602,-0.20272421,0.00535233,0.022286353
6.000700000000000,0.003928314,0.022541026,0.978960083,-0.202764951,0.978960083,-0.202764951,0.00534829,0.022246917
6.000750000000000,0.003918142,0.02250259,0.978952502,-0.202806013,0.978952502,-0.202806013,0.005344212,0.022207156
6.000800000000001,0.003907882,0.022463835,0.978944859,-0.202847399,0.978944859,-0.202847399,0.005340097,0.022167066
6.000850000000001,0.003897533,0.02242476,0.978937151,-0.202889114,0.978937151,-0.202889114,0.005335944,0.022126643
6.000900000000001,0.003887095,0.022385358,0.978929379,-0.202931161,0.978929379,-0.202931161,0.005331752,0.022085882
6.000950000000000,0.003876565,0.022345627,0.978921542,-0.202973545,0.978921542,-0.202973545,0.005327521,0.02204478
6.001000000000000,0.003865943,0.022305562,0.978913638,-0.203016269,0.978913638,-0.203016269,0.00532325,0.022003332
6.001050000000000,0.003855227,0.02226516,0.978905667,-0.203059338,0.978905667,-0.203059338,0.005318938,0.021961534
6.001100000000000,0.003844416,0.022224415,0.978897627,-0.203102757,0.978897627,-0.203102757,0.005314586,0.021919382
6.001150000000000,0.00383351,0.022183323,0.978889519,-0.20314653,0.978889519,-0.20314653,0.005310193,0.021876871
6.001200000000001,0.003822506,0.022141881,0.978881341,-0.203190661,0.978881341,-0.203190661,0.005305757,0.021833996
6.001250000000001,0.003811403,0.022100083,0.978873092,-0.203235155,0.978873092,-0.203235155,0.005301279,0.021790752
6.001300000000001,0.003800201,0.022057925,0.978864771,-0.203280016,0.978864771,-0.203280016,0.005296758,0.021747136
6.001350000000000,0.003788897,0.022015402,0.978856378,-0.20332525,0.978856378,-0.20332525,0.005292193,0.021703142
6.001400000000000,0.003777491,0.02197251,0.97884791,-0.203370861,0.97884791,-0.203370861,0.005287583,0.021658765
6.001450000000000,0.00376598,0.021929244,0.978839368,-0.203416855,0.978839368,-0.203416855,0.005282929,0.021614
6.001500000000000,0.003754365,0.021885598,0.978830749,-0.203463235,0.978830749,-0.203463235,0.005278228,0.021568843
6.001550000000000,0.003742642,0.021841569,0.978822054,-0.203510008,0.978822054,-0.203510008,0.005273482,0.021523287
6.001600000000001,0.003730811,0.021797151,0.978813281,-0.203557177,0.978813281,-0.203557177,0.005268688,0.021477329
6.001650000000001,0.00371887,0.021752338,0.978804429,-0.20360475,0.978804429,-0.20360475,0.005263847,0.021430961
6.001700000000000,0.003706818,0.021707126,0.978795497,-0.20365273,0.978795497,-0.20365273,0.005258958,0.02138418
6.001750000000000,0.003694653,0.021661508,0.978786483,-0.203701124,0.978786483,-0.203701124,0.005254019,0.021336979
6.001800000000000,0.003682373,0.021615481,0.978777387,-0.203749937,0.978777387,-0.203749937,0.00524903,0.021289353
6.001850000000000,0.003669978,0.021569038,0.978768207,-0.203799175,0.978768207,-0.203799175,0.005243991,0.021241297
6.001900000000000,0.003657464,0.021522173,0.978758942,-0.203848842,0.978758942,-0.203848842,0.005238901,0.021192803
6.001950000000001,0.003644831,0.021474882,0.978749591,-0.203898947,0.978749591,-0.203898947,0.005233758,0.021143867
6.002000000000001,0.003632077,0.021427157,0.978740153,-0.203949493,0.978740153,-0.203949493,0.005228563,0.021094482
6.002050000000001,0.003619201,0.021378993,0.978730627,-0.204000487,0.978730627,-0.204000487,0.005223314,0.021044641
6.002100000000000,0.003606199,0.021330384,0.97872101,-0.204051936,0.97872101,-0.204051936,0.005218011,0.02099434
6.002150000000000,0.003593072,0.021281325,0.978711302,-0.204103846,0.978711302,-0.204103846,0.005212652,0.020943571
6.002200000000000,0.003579816,0.021231807,0.978701502,-0.204156223,0.978701502,-0.204156223,0.005207238,0.020892328
6.002250000000000,0.00356643,0.021181826,0.978691608,-0.204209074,0.978691608,-0.204209074,0.005201766,0.020840605
6.002300000000000,0.003552912,0.021131375,0.978681618,-0.204262405,0.978681618,-0.204262405,0.005196237,0.020788393
6.002350000000001,0.00353926,0.021080446,0.978671532,-0.204316223,0.978671532,-0.204316223,0.005190648,0.020735688
6.002400000000001,0.003525472,0.021029034,0.978661347,-0.204370535,0.978661347,-0.204370535,0.005185,0.02068248
6.002450000000001,0.003511546,0.020977132,0.978651063,-0.204425348,0.978651063,-0.204425348,0.005179292,0.020628765
