Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
0.4165,4.0880988532e-6,-1.432312212,9.651113520e-13,-4.80E-06,9.651113520e-13,-4.80E-06,9.978015230e-14,6.8120810526e-5
0.417,4.0641916074e-6,-1.43059545,9.662046251e-13,-4.81E-06,9.662046251e-13,-4.81E-06,9.946810033e-14,6.8202589040e-5
0.4175,4.0402635069e-6,-1.4288828,9.672603982e-13,-4.81E-06,9.672603981e-13,-4.81E-06,9.914792997e-14,6.8284367556e-5
0.418,4.0163154365e-6,-1.427174248,9.682779750e-13,-4.82E-06,9.682779750e-13,-4.82E-06,9.882408210e-14,6.8366146076e-5
0.4185,3.9923477395e-6,-1.425469779,9.692581659e-13,-4.83E-06,9.692581659e-13,-4.83E-06,9.849988840e-14,6.8447924598e-5
0.419,3.9683611726e-6,-1.423769378,9.702006421e-13,-4.83E-06,9.702006421e-13,-4.83E-06,9.817201829e-14,6.8529703124e-5
0.4195,3.9443563233e-6,-1.42207303,9.711050070e-13,-4.84E-06,9.711050070e-13,-4.84E-06,9.784269200e-14,6.8611481652e-5
0.42,3.9203338648e-6,-1.420380722,9.719716168e-13,-4.84E-06,9.719716168e-13,-4.84E-06,9.750413802e-14,6.8693260184e-5
0.4205,3.8962942140e-6,-1.418692438,9.728009177e-13,-4.85E-06,9.728009177e-13,-4.85E-06,9.716967925e-14,6.8775038718e-5
0.421,3.8722381652e-6,-1.417008165,9.735925819e-13,-4.85E-06,9.735925819e-13,-4.85E-06,9.682710423e-14,6.8856817256e-5
0.4215,3.8481662374e-6,-1.415327887,9.743463076e-13,-4.86E-06,9.743463076e-13,-4.86E-06,9.648640385e-14,6.8938595797e-5
0.422,3.8240790101e-6,-1.413651592,9.750632083e-13,-4.87E-06,9.750632083e-13,-4.87E-06,9.613647723e-14,6.9020374340e-5
0.4225,3.7999770667e-6,-1.411979263,9.757420639e-13,-4.87E-06,9.757420639e-13,-4.87E-06,9.578620477e-14,6.9102152887e-5
0.423,3.7758610250e-6,-1.410310889,9.763829246e-13,-4.88E-06,9.763829246e-13,-4.88E-06,9.543558824e-14,6.9183931436e-5
0.4235,3.7517314876e-6,-1.408646454,9.769863842e-13,-4.88E-06,9.769863842e-13,-4.88E-06,9.508018604e-14,6.9265709989e-5
0.424,3.7275890976e-6,-1.406985944,9.775537677e-13,-4.89E-06,9.775537677e-13,-4.89E-06,9.472110902e-14,6.9347488545e-5
0.4245,3.7034344139e-6,-1.405329346,9.780823361e-13,-4.90E-06,9.780823361e-13,-4.90E-06,9.435946716e-14,6.9429267103e-5
0.425,3.6792677703e-6,-1.403676645,9.785745567e-13,-4.90E-06,9.785745567e-13,-4.90E-06,9.399415016e-14,6.9511045665e-5
0.4255,3.6550900991e-6,-1.402027829,9.790286257e-13,-4.91E-06,9.790286257e-13,-4.91E-06,9.362515865e-14,6.9592824230e-5
0.426,3.6309017535e-6,-1.400382883,9.794458526e-13,-4.91E-06,9.794458526e-13,-4.91E-06,9.325693396e-14,6.9674602798e-5
0.4265,3.6067034059e-6,-1.398741793,9.798251122e-13,-4.92E-06,9.798251122e-13,-4.92E-06,9.288059362e-14,6.9756381369e-5
0.427,3.5824955530e-6,-1.397104547,9.801682509e-13,-4.92E-06,9.801682510e-13,-4.92E-06,9.250057913e-14,6.9838159943e-5
0.4275,3.5582788550e-6,-1.39547113,9.804732861e-13,-4.93E-06,9.804732861e-13,-4.93E-06,9.212133178e-14,6.9919938520e-5
0.428,3.5340537304e-6,-1.393841529,9.807413874e-13,-4.94E-06,9.807413874e-13,-4.94E-06,9.173952082e-14,7.0001717100e-5
0.4285,3.5098210713e-6,-1.392215731,9.809723384e-13,-4.94E-06,9.809723384e-13,-4.94E-06,9.134848437e-14,7.0083495683e-5
0.429,3.4855809623e-6,-1.390593723,9.811660278e-13,-4.95E-06,9.811660278e-13,-4.95E-06,9.096154666e-14,7.0165274269e-5
0.4295,3.4613342777e-6,-1.38897549,9.813234890e-13,-4.95E-06,9.813234890e-13,-4.95E-06,9.056760558e-14,7.0247052859e-5
0.43,3.4370814749e-6,-1.387361021,9.814435045e-13,-4.96E-06,9.814435045e-13,-4.96E-06,9.017221061e-14,7.0328831451e-5
0.4305,3.4128230761e-6,-1.385750301,9.815257774e-13,-4.96E-06,9.815257774e-13,-4.96E-06,8.976981206e-14,7.0410610047e-5
0.431,3.3885597939e-6,-1.384143318,9.815723283e-13,-4.97E-06,9.815723283e-13,-4.97E-06,8.937262277e-14,7.0492388645e-5
0.4315,3.3642919462e-6,-1.382540059,9.815813263e-13,-4.98E-06,9.815813263e-13,-4.98E-06,8.896620903e-14,7.0574167247e-5
0.432,3.3400201802e-6,-1.38094051,9.815530771e-13,-4.98E-06,9.815530771e-13,-4.98E-06,8.855612357e-14,7.0655945852e-5
0.4325,3.3157451156e-6,-1.379344659,9.814888680e-13,-4.99E-06,9.814888680e-13,-4.99E-06,8.814569511e-14,7.0737724460e-5
0.433,3.2914671066e-6,-1.377752494,9.813872685e-13,-4.99E-06,9.813872685e-13,-4.99E-06,8.773603656e-14,7.0819503070e-5
