Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
4.1962,0.012991503,0.041679062,0.951779404,-0.303661042,0.951779404,-0.303661042,0.013543026,0.041503303
4.1963,0.012991599,0.041674195,0.951775687,-0.303673358,0.951775687,-0.303673358,0.013541285,0.04149901
4.1964,0.012991696,0.041669346,0.951771975,-0.303685653,0.951771975,-0.303685653,0.013539553,0.041494733
4.1965,0.012991795,0.041664517,0.951768268,-0.303697928,0.951768268,-0.303697928,0.013537828,0.041490474
4.1966,0.012991896,0.041659706,0.951764568,-0.303710181,0.951764568,-0.303710181,0.013536112,0.041486231
4.1967,0.012991999,0.041654914,0.951760872,-0.303722415,0.951760872,-0.303722415,0.013534405,0.041482004
4.1968,0.012992104,0.041650141,0.951757182,-0.303734628,0.951757182,-0.303734628,0.013532705,0.041477793
4.1969,0.01299221,0.041645385,0.951753498,-0.303746821,0.951753498,-0.303746821,0.013531014,0.041473599
4.197,0.012992318,0.041640648,0.951749819,-0.303758994,0.951749819,-0.303758994,0.013529331,0.041469421
4.1971,0.012992428,0.041635928,0.951746145,-0.303771146,0.951746145,-0.303771146,0.013527656,0.041465259
4.1972,0.012992539,0.041631226,0.951742477,-0.30378328,0.951742477,-0.30378328,0.013525989,0.041461113
4.1973,0.012992652,0.041626542,0.951738814,-0.303795393,0.951738814,-0.303795393,0.013524329,0.041456982
4.1974,0.012992767,0.041621876,0.951735156,-0.303807487,0.951735156,-0.303807487,0.013522678,0.041452867
4.1975,0.012992883,0.041617227,0.951731504,-0.303819561,0.951731504,-0.303819561,0.013521034,0.041448767
4.1976,0.012993001,0.041612595,0.951727856,-0.303831617,0.951727856,-0.303831617,0.013519399,0.041444683
4.1977,0.012993121,0.04160798,0.951724214,-0.303843653,0.951724214,-0.303843653,0.01351777,0.041440614
4.1978,0.012993242,0.041603382,0.951720577,-0.30385567,0.951720577,-0.30385567,0.01351615,0.04143656
4.1979,0.012993365,0.041598802,0.951716945,-0.303867668,0.951716945,-0.303867668,0.013514537,0.041432521
4.198,0.01299349,0.041594237,0.951713318,-0.303879648,0.951713318,-0.303879648,0.013512932,0.041428496
