Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
8.400000000000000,0.009754277,0.039070859,0.969461527,-0.241914593,0.969461527,-0.241914593,0.009745372,0.039073081
8.400200000000000,0.009754508,0.039070866,0.969459894,-0.241921124,0.969459894,-0.241921124,0.009745698,0.039073064
8.400400000000001,0.009754738,0.03907087,0.969458261,-0.241927659,0.969458261,-0.241927659,0.009746024,0.039073045
8.400600000000001,0.009754967,0.039070871,0.969456627,-0.241934196,0.969456627,-0.241934196,0.009746349,0.039073022
8.400800000000000,0.009755195,0.039070869,0.969454993,-0.241940737,0.969454993,-0.241940737,0.009746674,0.039072996
8.401000000000000,0.009755423,0.039070863,0.969453358,-0.241947281,0.969453358,-0.241947281,0.009746998,0.039072966
8.401200000000001,0.009755649,0.039070855,0.969451722,-0.241953828,0.969451722,-0.241953828,0.009747321,0.039072933
8.401400000000001,0.009755875,0.039070843,0.969450085,-0.241960379,0.969450085,-0.241960379,0.009747645,0.039072897
8.401600000000000,0.0097561,0.039070828,0.969448447,-0.241966933,0.969448447,-0.241966933,0.009747967,0.039072857
8.401800000000000,0.009756324,0.039070809,0.969446809,-0.24197349,0.969446809,-0.24197349,0.00974829,0.039072814
8.402000000000001,0.009756547,0.039070787,0.96944517,-0.241980051,0.96944517,-0.241980051,0.009748611,0.039072768
8.402200000000001,0.009756769,0.039070762,0.969443531,-0.241986615,0.969443531,-0.241986615,0.009748932,0.039072718
8.402400000000000,0.009756991,0.039070734,0.96944189,-0.241993183,0.96944189,-0.241993183,0.009749253,0.039072665
8.402600000000001,0.009757211,0.039070702,0.969440249,-0.241999753,0.969440249,-0.241999753,0.009749573,0.039072608
8.402800000000001,0.009757431,0.039070667,0.969438607,-0.242006328,0.969438607,-0.242006328,0.009749893,0.039072548
8.403000000000000,0.009757649,0.039070628,0.969436964,-0.242012905,0.969436964,-0.242012905,0.009750212,0.039072485
8.403200000000000,0.009757867,0.039070586,0.969435321,-0.242019486,0.969435321,-0.242019486,0.009750531,0.039072418
8.403400000000001,0.009758084,0.039070541,0.969433677,-0.242026071,0.969433677,-0.242026071,0.009750849,0.039072347
8.403600000000001,0.0097583,0.039070492,0.969432032,-0.242032659,0.969432032,-0.242032659,0.009751166,0.039072273
8.403800000000000,0.009758515,0.039070439,0.969430386,-0.242039251,0.969430386,-0.242039251,0.009751483,0.039072195
8.404000000000000,0.009758729,0.039070383,0.969428739,-0.242045846,0.969428739,-0.242045846,0.009751799,0.039072114
8.404200000000001,0.009758942,0.039070324,0.969427092,-0.242052444,0.969427092,-0.242052444,0.009752115,0.039072029
8.404400000000001,0.009759154,0.039070261,0.969425444,-0.242059047,0.969425444,-0.242059047,0.009752431,0.03907194
8.404600000000000,0.009759365,0.039070195,0.969423795,-0.242065653,0.969423795,-0.242065653,0.009752746,0.039071848
8.404800000000000,0.009759576,0.039070125,0.969422145,-0.242072262,0.969422145,-0.242072262,0.00975306,0.039071752
8.405000000000001,0.009759785,0.039070051,0.969420495,-0.242078875,0.969420495,-0.242078875,0.009753373,0.039071652
8.405200000000001,0.009759993,0.039069974,0.969418844,-0.242085492,0.969418844,-0.242085492,0.009753687,0.039071549
8.405400000000000,0.009760201,0.039069893,0.969417191,-0.242092112,0.969417191,-0.242092112,0.009753999,0.039071442
8.405600000000000,0.009760407,0.039069808,0.969415539,-0.242098736,0.969415539,-0.242098736,0.009754311,0.039071331
8.405800000000001,0.009760613,0.03906972,0.969413885,-0.242105364,0.969413885,-0.242105364,0.009754623,0.039071216
8.406000000000001,0.009760817,0.039069628,0.96941223,-0.242111996,0.96941223,-0.242111996,0.009754933,0.039071098
8.406200000000000,0.009761021,0.039069533,0.969410575,-0.242118631,0.969410575,-0.242118631,0.009755244,0.039070976
8.406400000000000,0.009761223,0.039069433,0.969408919,-0.24212527,0.969408919,-0.24212527,0.009755553,0.03907085
8.406600000000001,0.009761425,0.03906933,0.969407261,-0.242131913,0.969407261,-0.242131913,0.009755863,0.03907072
8.406800000000000,0.009761625,0.039069224,0.969405604,-0.24213856,0.969405604,-0.24213856,0.009756171,0.039070586
8.407000000000000,0.009761824,0.039069113,0.969403945,-0.242145211,0.969403945,-0.242145211,0.009756479,0.039070448
8.407200000000001,0.009762023,0.039068998,0.969402285,-0.242151865,0.969402285,-0.242151865,0.009756786,0.039070306
8.407400000000001,0.00976222,0.03906888,0.969400625,-0.242158524,0.969400625,-0.242158524,0.009757093,0.039070161
8.407600000000000,0.009762417,0.039068758,0.969398963,-0.242165186,0.969398963,-0.242165186,0.009757399,0.039070011
8.407800000000000,0.009762612,0.039068632,0.969397301,-0.242171852,0.969397301,-0.242171852,0.009757705,0.039069858
